game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
Kmr7r6wh,white,bullet,91,1,1.332207207207207,105.93333333333334,0.217391304347826,0.0869565217391304,0.0,2,16.0,7,1.1956521739130437,0,0,1,Zukertort Opening,A05,outoftime,1,0,-1,0,1.0,2.5980580780491397e-19
JlEpkyk3,black,bullet,67,1,1.6865671641791045,84.36363636363636,0.303030303030303,0.0606060606060606,0.0303030303030303,1,8.0,6,0.9696969696969696,0,0,1,Queen's Pawn Game: Modern Defense,A40,resign,1,0,-1,0,1.0,8.76978254003634e-23
oaByoGQT,white,bullet,77,1,2.055379746835443,98.39473684210526,0.2307692307692307,0.0512820512820512,0.0,1,4.0,6,0.4615384615384615,0,0,1,King's Indian Attack,A07,resign,1,0,-1,0,1.0,1.3683749818236278e-21
cEbsIuIM,white,bullet,35,1,3.602272727272727,57.70588235294117,0.4444444444444444,0.1111111111111111,0.0,2,7.0,7,2.0,0,0,1,Queen's Pawn Game,A41,resign,1,0,-1,0,1.0,1.1231304730971027e-28
7TA0gikZ,black,bullet,27,1,3.0394736842105265,93.3846153846154,0.1538461538461538,0.0,0.0,2,7.0,6,0.6153846153846154,0,0,1,Modern Defense,A41,resign,1,0,-1,0,1.0,1.0096578851427722e-27
mpdOSjGE,black,bullet,106,1,0.9566176470588236,90.8653846153846,0.2075471698113207,0.0188679245283018,0.0566037735849056,2,10.0,7,0.4339622641509434,0,0,1,Owen Defense,B00,resign,1,0,-1,0,1.0,7.492010987383383e-20
QypoKrwX,white,bullet,47,1,1.799019607843137,97.65217391304348,0.25,0.0,0.0416666666666666,4,14.0,3,-0.125,0,0,1,Hungarian Opening: Dutch Defense,A00,resign,1,0,-1,0,1.0,1.26884890329842e-25
s0Uhpirb,black,bullet,75,0,0.8069727891156462,139.3783783783784,0.2972972972972973,0.1351351351351351,0.0,1,25.0,6,1.7297297297297298,0,0,0,"French Defense: Advance Variation, Euwe Variation",C02,draw,0,1,-1,1,0.0,1.0
OfyuJPd6,white,bullet,133,1,0.8236940298507462,88.77272727272727,0.208955223880597,0.044776119402985,0.0895522388059701,0,9.0,4,0.0597014925373134,0,1,1,"Sicilian Defense: Closed, Fianchetto Variation",B24,mate,1,1,-1,0,0.0,1.0
sU7DwEQ5,black,bullet,114,1,0.9361510791366906,102.01785714285714,0.2631578947368421,0.1052631578947368,0.1403508771929824,1,7.0,4,2.491228070175439,0,0,1,Zukertort Opening: Kingside Fianchetto,A04,mate,1,0,-1,0,1.0,7.885258648495154e-20
nqJ08CV3,white,bullet,77,1,1.2648026315789471,78.97368421052632,0.2564102564102564,0.0512820512820512,0.0512820512820512,3,4.0,5,0.6153846153846154,0,0,1,Zukertort Opening: Reversed Grünfeld,A08,resign,1,0,-1,0,1.0,1.0504529230624849e-20
DRDFnjTg,black,bullet,56,1,0.8348214285714286,100.1851851851852,0.1428571428571428,0.0714285714285714,0.1785714285714285,0,16.0,5,-0.7857142857142857,0,0,1,Modern Defense: Standard Defense,B06,mate,1,0,-1,0,1.0,1.9533895682279835e-28
sehBuh7G,white,bullet,79,1,2.8432539682539684,92.12820512820512,0.175,0.025,0.05,1,4.0,5,0.125,0,0,1,King's Indian Attack: Sicilian Variation,A08,mate,1,0,-1,0,1.0,1.0946295080118376e-26
